feature,mean_abs_shap
sym_ratio_emg_15_rm7,0.2149895
s6_acc_x_rms,0.21333653
s7_acc_x_rms,0.19036956
ctx_Walking,0.17000613
s8_acc_z_rms,0.15627436
s4_acc_x_rms,0.14960785
s2_emg_rms,0.13939117
sym_ratio_emg_15,0.116809204
s6_emg_rms,0.11364407
sym_ratio_acc_48,0.11214751
s8_emg_rms,0.1064707
sym_ratio_emg_48_rm7,0.09942861
s2_acc_y_rms,0.09881635
sym_ratio_emg_26_rm7,0.09789679
s3_acc_x_rms,0.09737344
loadshare_acc_7,0.08644214
loadshare_acc_4,0.08587304
s1_acc_x_rms,0.08472104
loadshare_acc_3,0.08469588
s2_acc_x_rms,0.07859809
s1_acc_z_rms,0.07612065
s4_emg_rms,0.07017046
sym_ratio_emg_15_rm3,0.064311676
s5_acc_z_rms_norm_ema5,0.0639419
sym_ratio_acc_37,0.06175607
s3_gyro_z_rms,0.058893092
inter_sym_ctrl_48,0.05373135
s7_gyro_peak_angular_vel_norm_ema5,0.053407542
sym_ratio_acc_26,0.053111445
ctrl_ratio_8,0.052369077
s5_acc_z_rms,0.051789183
s6_acc_y_rms,0.050811242
sym_ratio_emg_15_rm5,0.050718762
sym_ratio_acc_15,0.050218638
sym_ratio_emg_37_rm7,0.050009727
loadshare_acc_8,0.04945768
s5_acc_x_rms,0.04892829
s7_acc_y_rms,0.04880187
s1_acc_y_rms,0.047332387
s6_gyro_z_rms,0.044684835
loadshare_acc_2,0.044501033
s4_acc_y_rms,0.042931356
s8_gyro_z_rms,0.04141038
s5_acc_y_rms,0.041334026
s4_gyro_z_rms,0.038786612
s2_gyro_y_rms,0.038692363
sym_ratio_emg_48_rrange5,0.03850878
s8_acc_x_rms,0.038415063
s3_acc_z_rms,0.037981335
s6_acc_z_rms,0.03708999
lrshare_acc,0.03697713
sym_ratio_emg_48,0.036308672
s2_acc_z_rms,0.036268152
s4_acc_z_rms_norm_ema5,0.036126737
s8_emg_mav_norm_rm5,0.034820333
s5_emg_rms,0.034524035
s1_emg_rms,0.03271158
ctrl_ratio_5,0.030955696
s1_gyro_peak_angular_vel_norm,0.030216182
s7_acc_z_rms,0.030136567
s3_gyro_x_rms,0.029538801
s8_acc_y_rms,0.02944853
s4_acc_z_rms,0.02942239
s6_gyro_peak_angular_vel_norm_absd1,0.028959634
sym_ratio_emg_48_rm5,0.028562294
s8_acc_z_rms_norm_ema5,0.027474515
s5_gyro_peak_angular_vel_norm,0.026246889
s4_gyro_y_rms,0.026130438
sym_ratio_emg_26,0.025520546
ctrl_ratio_3,0.024832973
s6_emg_mav_norm,0.024688037
s8_gyro_peak_angular_vel_norm_absd1,0.024272656
sym_ratio_emg_37_rrange5,0.024117285
s1_acc_z_rms_norm,0.023135193
s7_gyro_z_rms,0.022997808
s1_gyro_x_rms,0.022808842
ctrl_ratio_6,0.022517527
s5_gyro_y_rms,0.022463743
s7_gyro_peak_angular_vel_norm_absd1,0.022229465
s4_emg_mav_norm_rm5,0.021807501
s2_emg_mav_norm_ema5,0.02166115
s6_emg_mav_norm_rs5,0.021597793
loadshare_acc_5,0.021551454
s8_gyro_x_rms,0.021545675
lrshare_emg,0.021235792
sym_ratio_emg_48_rm3,0.021146566
s3_emg_rms,0.020894412
s5_acc_z_rms_norm_lag4,0.02087046
s8_emg_mav_norm_ema5,0.019633645
loadshare_acc_6,0.019484736
sym_ratio_gyro_37,0.01929215
s2_emg_mav_norm,0.019074237
sym_ratio_gyro_48,0.019045666
sym_ratio_emg_48_rs5,0.018776672
s1_acc_z_rms_norm_ema5,0.018579952
s7_gyro_x_rms,0.01850416
sym_ratio_emg_15_rrange5,0.018487968
s7_emg_rms,0.018347465
s4_gyro_x_rms,0.018048108
s7_emg_mav_norm_rs5,0.017899543
s5_acc_z_rms_norm,0.01772832
s3_gyro_y_rms,0.017253352
sym_ratio_emg_37,0.017121302
s8_gyro_y_rms,0.017110022
s1_gyro_y_rms,0.01707817
loadshare_gyro_4,0.017061763
s6_acc_z_rms_norm_ema5,0.016906776
s8_emg_mav_norm_absd1,0.016821774
sym_ratio_emg_15_rs5,0.016717102
s4_gyro_peak_angular_vel_norm_absd1,0.016539976
s2_acc_z_rms_norm_lag4,0.016379222
s2_gyro_z_rms,0.016345745
s5_gyro_x_rms,0.016124014
ctrl_ratio_1,0.015701868
s7_acc_z_rms_norm,0.0156361
s8_acc_z_rms_norm,0.015430419
s4_gyro_peak_angular_vel_norm,0.015343347
loadshare_acc_1,0.015171872
inter_sym_ctrl_37,0.015115037
s1_emg_mav_norm_absd1,0.014967146
sym_ratio_emg_26_rm5,0.014900207
loadshare_emg_4,0.01471649
s4_acc_z_rms_norm_lag4,0.014644143
s2_acc_z_rms_norm_lag1,0.014611999
loadshare_emg_5,0.014371941
inter_sym_ctrl_26,0.014153338
loadshare_emg_6,0.013720329
s4_gyro_peak_angular_vel_norm_lag3,0.0130800335
